Plot,Treatment,Date,Days,Veg,Flr,Sdl
1.1,10,7/13/07,14,29,5,0
1.1,10,7/13/07,14,30,2,0
1.1,10,7/13/07,14,17,0,0
1.1,10,7/13/07,14,9,0,0
1.1,10,7/13/07,14,31,1,0
1.1,10,7/13/07,14,NA,NA,NA
1.1,10,7/13/07,14,NA,NA,NA
1.1,10,7/31/07,32,24,1,0
1.1,10,7/31/07,32,22,0,0
1.1,10,7/31/07,32,23,1,0
1.1,10,7/31/07,32,21,0,0
1.1,10,7/31/07,32,26,1,0
1.1,10,7/31/07,32,NA,NA,NA
1.1,10,7/31/07,32,NA,NA,NA
1.1,10,9/29/07,92,13,NA,NA
1.1,10,9/29/07,92,17,NA,NA
1.1,10,9/29/07,92,13,NA,NA
1.1,10,9/29/07,92,14,NA,NA
1.1,10,9/29/07,92,18,NA,NA
1.1,10,9/29/07,92,NA,NA,NA
1.1,10,9/29/07,92,NA,NA,NA
1.2,5,7/13/07,14,11,1,0
1.2,5,7/13/07,14,17,2,0
1.2,5,7/13/07,14,8,0,0
1.2,5,7/13/07,14,15,0,0
1.2,5,7/13/07,14,17,0,0
1.2,5,7/13/07,14,NA,NA,NA
1.2,5,7/13/07,14,NA,NA,NA
1.2,5,7/31/07,32,6,0,0
1.2,5,7/31/07,32,10,1,0
1.2,5,7/31/07,32,20,0,0
1.2,5,7/31/07,32,16,0,0
1.2,5,7/31/07,32,16,0,0
1.2,5,7/31/07,32,NA,NA,NA
1.2,5,7/31/07,32,NA,NA,NA
1.2,5,9/29/07,92,12,NA,NA
1.2,5,9/29/07,92,11,NA,NA
1.2,5,9/29/07,92,14,NA,NA
1.2,5,9/29/07,92,9,NA,NA
1.2,5,9/29/07,92,5,NA,NA
1.2,5,9/29/07,92,NA,NA,NA
1.2,5,9/29/07,92,NA,NA,NA
1.3,10,7/13/07,14,22,6,1
1.3,10,7/13/07,14,11,0,1
1.3,10,7/13/07,14,11,0,0
1.3,10,7/13/07,14,7,1,0
1.3,10,7/13/07,14,2,0,0
1.3,10,7/13/07,14,NA,NA,NA
1.3,10,7/13/07,14,NA,NA,NA
1.3,10,7/31/07,32,4,0,0
1.3,10,7/31/07,32,11,0,0
1.3,10,7/31/07,32,15,1,0
1.3,10,7/31/07,32,15,0,0
1.3,10,7/31/07,32,16,0,0
1.3,10,7/31/07,32,NA,NA,NA
1.3,10,7/31/07,32,NA,NA,NA
1.3,10,9/29/07,92,14,NA,NA
1.3,10,9/29/07,92,13,NA,NA
1.3,10,9/29/07,92,4,NA,NA
1.3,10,9/29/07,92,13,NA,NA
1.3,10,9/29/07,92,2,NA,NA
1.3,10,9/29/07,92,NA,NA,NA
1.3,10,9/29/07,92,NA,NA,NA
1.4,0,7/13/07,14,0,0,0
1.4,0,7/13/07,14,0,0,0
1.4,0,7/13/07,14,0,0,0
1.4,0,7/13/07,14,0,0,0
1.4,0,7/13/07,14,0,0,0
1.4,0,7/13/07,14,NA,NA,NA
1.4,0,7/13/07,14,NA,NA,NA
1.4,0,7/31/07,32,0,0,0
1.4,0,7/31/07,32,0,0,0
1.4,0,7/31/07,32,0,0,0
1.4,0,7/31/07,32,0,0,0
1.4,0,7/31/07,32,0,0,0
1.4,0,7/31/07,32,NA,NA,NA
1.4,0,7/31/07,32,NA,NA,NA
1.4,0,9/29/07,92,0,NA,NA
1.4,0,9/29/07,92,0,NA,NA
1.4,0,9/29/07,92,0,NA,NA
1.4,0,9/29/07,92,0,NA,NA
1.4,0,9/29/07,92,0,NA,NA
1.4,0,9/29/07,92,NA,NA,NA
1.4,0,9/29/07,92,NA,NA,NA
1.5,0,7/13/07,14,0,0,0
1.5,0,7/13/07,14,5,0,0
1.5,0,7/13/07,14,1,0,0
1.5,0,7/13/07,14,0,0,0
1.5,0,7/13/07,14,3,0,0
1.5,0,7/13/07,14,NA,NA,NA
1.5,0,7/13/07,14,NA,NA,NA
1.5,0,7/31/07,32,1,0,0
1.5,0,7/31/07,32,1,0,0
1.5,0,7/31/07,32,1,0,0
1.5,0,7/31/07,32,2,0,0
1.5,0,7/31/07,32,1,0,0
1.5,0,7/31/07,32,NA,NA,NA
1.5,0,7/31/07,32,NA,NA,NA
1.5,0,9/29/07,92,1,NA,NA
1.5,0,9/29/07,92,2,NA,NA
1.5,0,9/29/07,92,0,NA,NA
1.5,0,9/29/07,92,1,NA,NA
1.5,0,9/29/07,92,1,NA,NA
1.5,0,9/29/07,92,NA,NA,NA
1.5,0,9/29/07,92,NA,NA,NA
1.6,5,7/13/07,14,16,0,0
1.6,5,7/13/07,14,4,0,0
1.6,5,7/13/07,14,14,2,1
1.6,5,7/13/07,14,12,4,0
1.6,5,7/13/07,14,16,0,1
1.6,5,7/13/07,14,NA,NA,NA
1.6,5,7/13/07,14,NA,NA,NA
1.6,5,7/31/07,32,11,0,0
1.6,5,7/31/07,32,3,1,0
1.6,5,7/31/07,32,21,2,0
1.6,5,7/31/07,32,2,0,0
1.6,5,7/31/07,32,23,1,0
1.6,5,7/31/07,32,NA,NA,NA
1.6,5,7/31/07,32,NA,NA,NA
1.6,5,9/29/07,92,0,NA,NA
1.6,5,9/29/07,92,11,NA,NA
1.6,5,9/29/07,92,11,NA,NA
1.6,5,9/29/07,92,5,NA,NA
1.6,5,9/29/07,92,6,NA,NA
1.6,5,9/29/07,92,NA,NA,NA
1.6,5,9/29/07,92,NA,NA,NA
1.7,20,7/13/07,14,31,6,0
1.7,20,7/13/07,14,14,3,0
1.7,20,7/13/07,14,22,2,0
1.7,20,7/13/07,14,21,5,0
1.7,20,7/13/07,14,23,2,0
1.7,20,7/13/07,14,NA,NA,NA
1.7,20,7/13/07,14,NA,NA,NA
1.7,20,7/31/07,32,20,2,0
1.7,20,7/31/07,32,19,2,0
1.7,20,7/31/07,32,21,4,0
1.7,20,7/31/07,32,26,3,0
1.7,20,7/31/07,32,24,2,0
1.7,20,7/31/07,32,NA,NA,NA
1.7,20,7/31/07,32,NA,NA,NA
1.7,20,9/29/07,92,22,NA,NA
1.7,20,9/29/07,92,10,NA,NA
1.7,20,9/29/07,92,16,NA,NA
1.7,20,9/29/07,92,12,NA,NA
1.7,20,9/29/07,92,17,NA,NA
1.7,20,9/29/07,92,NA,NA,NA
1.7,20,9/29/07,92,NA,NA,NA
2.1,5,7/13/07,14,1,0,0
2.1,5,7/13/07,14,6,0,0
2.1,5,7/13/07,14,6,0,1
2.1,5,7/13/07,14,4,1,0
2.1,5,7/13/07,14,14,3,0
2.1,5,7/13/07,14,NA,NA,NA
2.1,5,7/13/07,14,NA,NA,NA
2.1,5,7/31/07,32,4,0,0
2.1,5,7/31/07,32,11,1,0
2.1,5,7/31/07,32,15,5,0
2.1,5,7/31/07,32,12,1,0
2.1,5,7/31/07,32,16,6,0
2.1,5,7/31/07,32,NA,NA,NA
2.1,5,7/31/07,32,NA,NA,NA
2.1,5,9/29/07,92,4,NA,NA
2.1,5,9/29/07,92,8,NA,NA
2.1,5,9/29/07,92,5,NA,NA
2.1,5,9/29/07,92,14,NA,NA
2.1,5,9/29/07,92,0,NA,NA
2.1,5,9/29/07,92,NA,NA,NA
2.1,5,9/29/07,92,NA,NA,NA
2.2,5,7/13/07,14,15,0,0
2.2,5,7/13/07,14,10,1,0
2.2,5,7/13/07,14,9,0,0
2.2,5,7/13/07,14,16,4,0
2.2,5,7/13/07,14,12,0,0
2.2,5,7/13/07,14,NA,NA,NA
2.2,5,7/13/07,14,NA,NA,NA
2.2,5,7/31/07,32,16,0,0
2.2,5,7/31/07,32,11,0,0
2.2,5,7/31/07,32,7,1,0
2.2,5,7/31/07,32,16,2,0
2.2,5,7/31/07,32,18,2,0
2.2,5,7/31/07,32,NA,NA,NA
2.2,5,7/31/07,32,NA,NA,NA
2.2,5,9/29/07,92,11,NA,NA
2.2,5,9/29/07,92,13,NA,NA
2.2,5,9/29/07,92,8,NA,NA
2.2,5,9/29/07,92,16,NA,NA
2.2,5,9/29/07,92,14,NA,NA
2.2,5,9/29/07,92,NA,NA,NA
2.2,5,9/29/07,92,NA,NA,NA
2.3,10,7/13/07,14,7,8,0
2.3,10,7/13/07,14,22,0,1
