date	days	plot	treatment	init_g	final_g
7/29/07	2	1.1	10	42.9	20.4
7/29/07	2	1.1	10	41.6	22.7
7/29/07	2	1.2	5	44.1	21
7/29/07	2	1.2	5	45.2	24.9
7/29/07	2	1.3	10	40.3	18.3
7/29/07	2	1.3	10	43.9	20.7
7/29/07	2	1.4	0	44.6	20.4
7/29/07	2	1.4	0	44.2	20.3
7/29/07	2	1.5	0	43.3	20.3
7/29/07	2	1.5	0	46.3	23.3
7/29/07	2	1.6	5	45.6	23.5
7/29/07	2	1.6	5	41.5	20.7
7/29/07	2	1.7	20	40	20.7
7/29/07	2	1.7	20	38	18.2
7/29/07	2	2.1	5	43.1	23.2
7/29/07	2	2.1	5	41	21.1
7/29/07	2	2.2	5	40.4	19.1
7/29/07	2	2.2	5	40.2	20.6
7/29/07	2	2.3	10	46.9	24.3
7/29/07	2	2.3	10	44.7	23.2
7/29/07	2	2.4	10	40.8	20.4
7/29/07	2	2.4	10	43.9	23.1
7/29/07	2	2.5	0	47.3	22.7
7/29/07	2	2.5	0	49	27.1
7/29/07	2	2.6	5	46.1	23.1
7/29/07	2	2.6	5	43.7	21.9
7/29/07	2	2.7	0	41.6	21.9
7/29/07	2	2.7	0	44.1	20.1
7/29/07	2	3.1	0	45.8	21.8
7/29/07	2	3.1	0	43.8	19.4
7/29/07	2	3.2	0	41.6	20.5
7/29/07	2	3.2	0	44.4	22.4
7/29/07	2	3.3	5	41.9	22.7
7/29/07	2	3.3	5	45	22
7/29/07	2	3.4	20	40.5	19.4
7/29/07	2	3.4	20	38.1	18.1
7/29/07	2	3.5	20	39	19.1
7/29/07	2	3.5	20	48.3	25.9
7/29/07	2	3.6	10	46.1	24.9
7/29/07	2	3.6	10	42.2	21.8
7/29/07	2	3.7	10	44.7	23.1
7/29/07	2	3.7	10	43.3	21.8
7/29/07	2	4.1	20	42.9	23.1
7/29/07	2	4.1	20	42.5	22.5
7/29/07	2	4.2	10	44.1	22.4
7/29/07	2	4.2	10	48	26.3
7/29/07	2	4.3	10	44.7	22.9
7/29/07	2	4.3	10	40.7	22.3
7/29/07	2	4.4	10	46.3	23.9
7/29/07	2	4.4	10	41.9	20.3
9/29/07	1	1.1	10	45.4	28.4
9/29/07	1	1.1	10	45.5	28.3
9/29/07	1	1.2	5	42.9	25.8
9/29/07	1	1.2	5	43.1	26.6
9/29/07	1	1.3	10	41.4	26.3
9/29/07	1	1.3	10	39.9	25.4
9/29/07	1	1.4	0	43.3	27.2
9/29/07	1	1.4	0	43	28.1
9/29/07	1	1.5	0	38.5	22.7
9/29/07	1	1.5	0	40.2	24.5
9/29/07	1	1.6	5	36.9	23
